Id,Expected
0,neutral
1,neutral
2,surprise
3,neutral
4,neutral
5,neutral
6,anger
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,joy
14,surprise
15,neutral
16,neutral
17,surprise
18,neutral
19,non-neutral
20,surprise
21,neutral
22,non-neutral
23,neutral
24,surprise
25,neutral
26,neutral
27,anger
28,anger
29,neutral
30,surprise
31,surprise
32,neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,anger
47,neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,neutral
64,neutral
65,surprise
66,non-neutral
67,surprise
68,neutral
69,neutral
70,surprise
71,neutral
72,neutral
73,neutral
74,neutral
75,neutral
76,neutral
77,non-neutral
78,neutral
79,neutral
80,neutral
81,neutral
82,neutral
83,neutral
84,surprise
85,surprise
86,surprise
87,non-neutral
88,surprise
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,neutral
98,neutral
99,surprise
100,neutral
101,surprise
102,neutral
103,neutral
104,neutral
105,surprise
106,surprise
107,neutral
108,joy
109,surprise
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,neutral
118,neutral
119,neutral
120,surprise
121,neutral
122,non-neutral
123,non-neutral
124,neutral
125,neutral
126,neutral
127,anger
128,neutral
129,neutral
130,neutral
131,neutral
132,non-neutral
133,neutral
134,surprise
135,non-neutral
136,surprise
137,non-neutral
138,neutral
139,non-neutral
140,non-neutral
141,surprise
142,neutral
143,neutral
144,neutral
145,neutral
146,neutral
147,neutral
148,neutral
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,non-neutral
155,surprise
156,neutral
157,neutral
158,neutral
159,joy
160,surprise
161,neutral
162,neutral
163,neutral
164,neutral
165,neutral
166,neutral
167,neutral
168,surprise
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,surprise
175,neutral
176,neutral
177,surprise
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,surprise
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,surprise
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,joy
205,non-neutral
206,anger
207,anger
208,non-neutral
209,surprise
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,non-neutral
217,surprise
218,non-neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,anger
224,anger
225,neutral
226,neutral
227,non-neutral
228,neutral
229,neutral
230,surprise
231,surprise
232,neutral
233,neutral
234,neutral
235,neutral
236,disgust
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,surprise
243,neutral
244,neutral
245,surprise
246,anger
247,neutral
248,neutral
249,neutral
250,non-neutral
251,neutral
252,neutral
253,surprise
254,neutral
255,non-neutral
256,neutral
257,neutral
258,surprise
259,neutral
260,surprise
261,neutral
262,neutral
263,neutral
264,joy
265,neutral
266,neutral
267,neutral
268,neutral
269,non-neutral
270,neutral
271,neutral
272,neutral
273,surprise
274,surprise
275,neutral
276,surprise
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,surprise
292,neutral
293,neutral
294,joy
295,surprise
296,surprise
297,surprise
298,joy
299,neutral
300,neutral
301,neutral
302,surprise
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,neutral
309,neutral
310,neutral
311,surprise
312,non-neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,surprise
320,surprise
321,surprise
322,neutral
323,neutral
324,neutral
325,surprise
326,non-neutral
327,neutral
328,surprise
329,neutral
330,non-neutral
331,non-neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,joy
337,non-neutral
338,neutral
339,neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,neutral
345,neutral
346,non-neutral
347,neutral
348,neutral
349,neutral
350,neutral
351,non-neutral
352,joy
353,surprise
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,neutral
360,neutral
361,neutral
362,neutral
363,neutral
364,non-neutral
365,surprise
366,neutral
367,surprise
368,neutral
369,non-neutral
370,neutral
371,neutral
372,surprise
373,neutral
374,surprise
375,surprise
376,neutral
377,neutral
378,neutral
379,neutral
380,neutral
381,neutral
382,neutral
383,neutral
384,anger
385,neutral
386,neutral
387,neutral
388,neutral
389,neutral
390,neutral
391,surprise
392,neutral
393,non-neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,surprise
399,neutral
400,neutral
401,neutral
402,surprise
403,surprise
404,anger
405,surprise
406,neutral
407,surprise
408,neutral
409,neutral
410,surprise
411,surprise
412,neutral
413,joy
414,surprise
415,surprise
416,neutral
417,neutral
418,surprise
419,surprise
420,neutral
421,neutral
422,anger
423,neutral
424,neutral
425,neutral
426,neutral
427,surprise
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,anger
434,neutral
435,surprise
436,non-neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,joy
443,surprise
444,neutral
445,neutral
446,neutral
447,neutral
448,neutral
449,neutral
450,neutral
451,neutral
452,surprise
453,neutral
454,neutral
455,surprise
456,neutral
457,neutral
458,neutral
459,neutral
460,non-neutral
461,non-neutral
462,neutral
463,non-neutral
464,neutral
465,neutral
466,neutral
467,neutral
468,surprise
469,neutral
470,neutral
471,surprise
472,neutral
473,non-neutral
474,neutral
475,non-neutral
476,neutral
477,non-neutral
478,anger
479,neutral
480,neutral
481,neutral
482,surprise
483,anger
484,surprise
485,neutral
486,neutral
487,neutral
488,neutral
489,anger
